sub,hr,congruent,rsi
280353,0.6153846153846154,0,2
280354,0.35294117647058826,0,2
280355,0.4,0,2
280356,0.7333333333333333,0,2
280357,0.5,0,2
280360,0.5714285714285714,0,2
280361,0.6666666666666666,0,2
280362,0.5,0,2
280363,0.625,0,2
280364,0.5882352941176471,0,2
280365,0.4,0,2
280367,0.25,0,2
280368,0.25,0,2
280369,0.3333333333333333,0,2
280370,0.6,0,2
280371,0.38461538461538464,0,2
280372,0.6666666666666666,0,2
280373,0.125,0,2
280374,0.3333333333333333,0,2
280375,0.5,0,2
280376,0.2857142857142857,0,2
280377,0.47368421052631576,0,2
280379,0.2222222222222222,0,2
280380,0.5,0,2
280383,0.46153846153846156,0,2
280384,0.2727272727272727,0,2
280385,0.5294117647058824,0,2
280386,0.6363636363636364,0,2
280387,0.3333333333333333,0,2
280389,0.4444444444444444,0,2
280391,0.4375,0,2
280392,0.47619047619047616,0,2
280395,0.47058823529411764,0,2
280396,0.11538461538461539,0,2
280398,0.47368421052631576,0,2
280403,0.6666666666666666,0,2
280404,0.625,0,2
280405,0.5333333333333333,0,2
280406,0.3888888888888889,0,2
280408,0.4444444444444444,0,2
280409,0.7142857142857143,0,2
280411,0.4,0,2
280412,0.2777777777777778,0,2
280413,0.5555555555555556,0,2
280418,0.35294117647058826,0,2
280419,0.35,0,2
280420,0.42857142857142855,0,2
280422,0.625,0,2
280428,0.4,0,2
280429,0.3888888888888889,0,2
280430,0.4444444444444444,0,2
280433,0.6,0,2
280435,0.5263157894736842,0,2
280436,0.36363636363636365,0,2
280437,0.5,0,2
280438,0.3076923076923077,0,2
280440,0.47058823529411764,0,2
280444,0.6666666666666666,0,2
280281,0.375,1,3
280282,0.5384615384615384,1,3
280283,0.3684210526315789,1,3
280285,0.5714285714285714,1,3
280286,0.7142857142857143,1,3
280288,0.3157894736842105,1,3
280289,0.5625,1,3
280292,0.5384615384615384,1,3
280297,0.3333333333333333,1,3
280298,0.26666666666666666,1,3
280299,0.26666666666666666,1,3
280300,0.5714285714285714,1,3
280301,0.25,1,3
280302,0.21052631578947367,1,3
280303,0.4666666666666667,1,3
280304,0.5,1,3
280305,0.6666666666666666,1,3
280306,0.42857142857142855,1,3
280307,0.6428571428571429,1,3
280308,0.35,1,3
280309,0.6428571428571429,1,3
280310,0.47368421052631576,1,3
280311,0.42857142857142855,1,3
280312,0.5625,1,3
280313,0.26666666666666666,1,3
280314,0.7222222222222222,1,3
280315,0.5714285714285714,1,3
280316,0.5,1,3
280317,0.4,1,3
280318,0.6,1,3
280320,0.45,1,3
280321,0.375,1,3
280322,0.4166666666666667,1,3
280325,0.3333333333333333,1,3
280326,0.3888888888888889,1,3
280327,0.3888888888888889,1,3
280328,0.5,1,3
280329,0.2608695652173913,1,3
280330,0.3157894736842105,1,3
280332,0.75,1,3
280333,0.4666666666666667,1,3
280334,0.5789473684210527,1,3
280335,0.7857142857142857,1,3
280336,0.7058823529411765,1,3
280337,0.5,1,3
280339,0.3333333333333333,1,3
280340,0.42857142857142855,1,3
280342,0.47058823529411764,1,3
280343,0.3,1,3
280344,0.23529411764705882,1,3
280345,0.5,1,3
280346,0.4,1,3
280347,0.625,1,3
280349,0.3157894736842105,1,3
280350,0.25,1,3
280351,0.4,1,3
280352,0.3,1,3
280353,0.6666666666666666,1,3
280354,0.6111111111111112,1,3
280355,0.4375,1,3
280356,0.46153846153846156,1,3
280357,0.7,1,3
280360,0.47368421052631576,1,3
280361,0.5555555555555556,1,3
280362,0.7058823529411765,1,3
280363,0.4444444444444444,1,3
280364,0.7,1,3
280365,0.42857142857142855,1,3
